method,rate_bpp,seed,image,image_name,requested_bits,embedded_bits,capacity_limited,blind_extractable,extraction_ok,mse,psnr,ssim,correlation,payload_bits,n_changes,change_rate,embedding_efficiency,bits_per_pixel,bits_per_unit_distortion,fused_measure_1,fused_measure_2,ga_evaluations,ga_generations,ga_wall_time_s,ga_converged_at
WOW,0.1,0,888,1798.pgm,26214,26214,False,False,,0.0154571533203125,66.23950846131329,0.9998980269608201,0.9999962709759488,26214,4052,0.0154571533203125,6.469397828232971,0.09999847412109375,1695913.824284304,0.9998942983170288,64.68812708243317,,,,
S-UNIWARD,0.1,0,888,1798.pgm,26214,26214,False,False,,0.0122528076171875,67.24844746212929,0.9998911511735431,0.9999970439821667,26214,3212,0.0122528076171875,8.161270236612703,0.09999847412109375,2139428.0249066004,0.9998881954774689,81.60482288768543,,,,
HILL,0.1,0,888,1798.pgm,26214,26214,False,False,,0.013156890869140625,66.93927088452182,0.9998772796906755,0.9999968259298112,26214,3449,0.013156890869140625,7.600463902580458,0.09999847412109375,1992416.0092780516,0.9998741060100096,75.99623010898462,,,,
MiPOD-lite,0.1,0,888,1798.pgm,26214,26214,False,False,,0.025211334228515625,64.11484530949141,0.999942172521866,0.9999939182841483,26214,6609,0.025211334228515625,3.966409441670449,0.09999847412109375,1039770.4366772582,0.9999360911577047,39.66216472695496,,,,
AMDT,0.1,0,889,1799.pgm,26214,26214,False,True,True,0.048954010009765625,61.23292088553388,0.9994642616063695,0.9999810257997274,26214,12833,0.048954010009765625,2.0427024078547493,0.09999847412109375,535482.1800046754,0.9994452975713044,20.416004682189044,2308.0,97.0,8.663869542069733,72.0
LSB,0.1,0,889,1799.pgm,26214,26214,False,True,,0.050212860107421875,61.122654015231454,0.9996958698544391,0.9999805376989879,26214,13163,0.050212860107421875,1.9914913013750666,0.09999847412109375,522057.49570766545,0.9996764134724995,19.908772599964667,,,,
LSB-M,0.1,0,889,1799.pgm,26214,26214,False,True,,0.049831390380859375,61.15577355970366,0.9994858838963864,0.9999806857647254,26214,13063,0.049831390380859375,2.006736584245579,0.09999847412109375,526053.9551404731,0.9994665795908712,20.056967544994972,,,,
EA-LSB,0.1,0,889,1799.pgm,26214,26214,False,True,,0.05022430419921875,61.12166432063511,0.999896336031624,0.9999805333519745,26214,13166,0.05022430419921875,1.9910375208871336,0.09999847412109375,521938.53987543675,0.9998768714015884,19.908227447721252,,,,
PVD,0.1,0,889,1799.pgm,26214,26214,False,True,,0.21425628662109375,54.821467871931155,0.9990959997345256,0.9999171134235207,26214,13240,0.050506591796875,1.9799093655589124,0.09999847412109375,122348.80205106291,0.9990131880875335,4.662701869067022,,,,
GA-FT,0.1,0,889,1799.pgm,26214,26214,False,True,True,0.049701690673828125,61.16709198737681,0.9996968109307051,0.9999807365975383,26214,13029,0.049701690673828125,2.011973290352291,0.09999847412109375,527426.726226111,0.9996775533686963,20.113552271876856,453.0,28.0,1.4995765410130844,3.0
WOW,0.1,0,889,1799.pgm,26214,26214,False,False,,0.0131988525390625,66.92544184026795,0.9999093104464668,0.9999948840658485,26214,3460,0.0131988525390625,7.576300578034682,0.09999847412109375,1986081.7387283237,0.999904194976277,75.75690326238762,,,,
S-UNIWARD,0.1,0,889,1799.pgm,26214,26214,False,False,,0.01174163818359375,67.43351667324112,0.9999033451182129,0.9999954489798731,26214,3078,0.01174163818359375,8.516569200779728,0.09999847412109375,2232567.516569201,0.9998987945379644,85.15837218822617,,,,
HILL,0.1,0,889,1799.pgm,26214,26214,False,False,,0.01165771484375,67.4646693291592,0.9998920440159326,0.9999954814589148,26214,3056,0.01165771484375,8.577879581151832,0.09999847412109375,2248639.664921466,0.999887525962651,85.7704566773407,,,,
MiPOD-lite,0.1,0,889,1799.pgm,26214,26214,False,False,,0.022186279296875,64.66995884968591,0.9999616076172251,0.9999914006431545,26214,5816,0.022186279296875,4.507221458046767,0.09999847412109375,1181541.0618982117,0.9999530085905294,45.07078429916708,,,,
AMDT,0.1,0,890,18.pgm,26214,26214,False,True,True,0.048984527587890625,61.230214368460054,0.9994649801127904,0.99999432943249,26214,12841,0.048984527587890625,2.0414297951872906,0.09999847412109375,535148.5722295771,0.9994593125791468,20.403571531558903,2022.0,85.0,7.587148915976286,60.0
LSB,0.1,0,890,18.pgm,26214,26214,False,True,,0.0494232177734375,61.191493434814326,0.9995259353735239,0.9999942786184384,26214,12956,0.0494232177734375,2.0233096634763816,0.09999847412109375,530398.4884223526,0.9995202167042668,20.223697722115105,,,,
LSB-M,0.1,0,890,18.pgm,26214,26214,False,True,,0.050174713134765625,61.125954627047896,0.9994789838189952,0.9999941916421055,26214,13153,0.050174713134765625,1.993005398008059,0.09999847412109375,522454.40705542464,0.9994731784873492,19.919858351812337,,,,
EA-LSB,0.1,0,890,18.pgm,26214,26214,False,True,,0.050144195556640625,61.12859692377191,0.9999178107733391,0.9999941952060493,26214,13145,0.050144195556640625,1.9942183339672879,0.09999847412109375,522772.3709395207,0.9999120064564798,19.940732827731264,,,,
PVD,0.1,0,890,18.pgm,26214,26214,False,True,,0.3203277587890625,53.07485785717826,0.9977374638448442,0.9999629516672555,26214,13449,0.051303863525390625,1.9491412000892259,0.09999847412109375,81834.93088172248,0.9977004993352919,3.114623918660396,,,,
GA-FT,0.1,0,890,18.pgm,26214,26214,False,True,True,0.04965972900390625,61.17076015613708,0.9995226056077005,0.9999942511976739,26214,13018,0.04965972900390625,2.013673375326471,0.09999847412109375,527872.3933015824,0.9995168595498204,20.12731200106223,468.0,29.0,1.6701232499908656,4.0
WOW,0.1,0,890,18.pgm,26214,26214,False,False,,0.02056884765625,64.99870399292308,0.9999668149133112,0.9999976188796911,26214,5392,0.02056884765625,4.861646884272997,0.09999847412109375,1274451.5608308606,0.9999644338720199,48.615481556555416,,,,
S-UNIWARD,0.1,0,890,18.pgm,26214,26214,False,False,,0.0163421630859375,65.99770820659754,0.9999593267593415,0.9999981081715731,26214,4284,0.0163421630859375,6.119047619047619,0.09999847412109375,1604071.619047619,0.9999574350078614,61.18880528541102,,,,
HILL,0.1,0,890,18.pgm,26214,26214,False,False,,0.0207977294921875,64.95064435656936,0.9999571536549345,0.9999975923807861,26214,5452,0.0207977294921875,4.808143800440205,0.09999847412109375,1260426.048422597,0.9999547461388784,48.07999577619775,,,,
MiPOD-lite,0.1,0,890,18.pgm,26214,26214,False,False,,0.026416778564453125,63.91200505083086,0.9999713913392221,0.9999969419133358,26214,6925,0.026416778564453125,3.7854151624548735,0.09999847412109375,992323.8723465704,0.9999683333400456,37.85353050903869,,,,
AMDT,0.1,0,891,180.pgm,26214,26214,False,True,True,0.04924774169921875,61.20694040553151,0.9995039921123217,0.999983185531964,26214,12910,0.04924774169921875,2.030518977536793,0.09999847412109375,532288.3668474051,0.9994871859843945,20.295086667908063,1212.0,50.0,5.204622666933574,25.0
LSB,0.1,0,891,180.pgm,26214,26214,False,True,,0.049404144287109375,61.19316979443642,0.9994230329859375,0.9999831317780062,26214,12951,0.049404144287109375,2.0240908037989342,0.09999847412109375,530603.2596710678,0.9994061744963514,20.2291971436315,,,,
LSB-M,0.1,0,891,180.pgm,26214,26214,False,True,,0.049655914306640625,61.17109377970698,0.9994817107982976,0.9999830454414378,26214,13017,0.049655914306640625,2.013828070984098,0.09999847412109375,527912.9458400554,0.9994647650271,20.1278091237047,,,,
EA-LSB,0.1,0,891,180.pgm,26214,26214,False,True,,0.050212860107421875,61.122654015231454,0.9999091320266489,0.9999828545414879,26214,13163,0.050212860107421875,1.9914913013750666,0.09999847412109375,522057.49570766545,0.9998919881261099,19.913065815948563,,,,
PVD,0.1,0,891,180.pgm,26214,26214,False,True,,0.218841552734375,54.7295057332591,0.9974818972924061,0.9999254359858065,26214,13540,0.0516510009765625,1.9360413589364844,0.09999847412109375,119785.29521684562,0.9974075210380586,4.557669732167773,,,,
GA-FT,0.1,0,891,180.pgm,26214,26214,False,True,True,0.04976654052734375,61.161429086331026,0.9994199210889444,0.9999830085398687,26214,13046,0.04976654052734375,2.0093515253717613,0.09999847412109375,526739.446267055,0.9994029394852008,20.081824633482174,561.0,34.0,1.6833351659588516,9.0
WOW,0.1,0,891,180.pgm,26214,26214,False,False,,0.02925872802734375,63.46824918870591,0.9999470089216143,0.9999900100774948,26214,7670,0.02925872802734375,3.4177314211212515,0.09999847412109375,895937.7856584094,0.9999370195284858,34.175683187389225,,,,
