metric,method_a,method_b,n_pairs,mean_a,std_a,mean_b,std_b,mean_diff,diff_ci_low,diff_ci_high,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,shapiro_p_value,normality_ok,cohens_dz,cliffs_delta,preferred_test,preferred_p,p_adjusted,significant,effect_below_noise,rate_bpp,power
embedding_efficiency,AMDT,MiPOD-lite,1000,2.040025880225496,0.006834873740727998,4.242604059406229,0.6073300991160583,-2.202578179180734,-2.240319886893354,-2.1655023433825216,-114.67118463243617,0.0,0.0,3.3258572475243253e-165,6.533409756234895e-16,False,-3.626221254281965,-1.0,Wilcoxon signed-rank,3.3258572475243253e-165,1.995513225669455e-164,True,False,0.1,1.0
embedding_efficiency,AMDT,PVD,1000,2.040025880225496,0.006834873740727998,1.981575444315979,0.06778099052663707,0.058450435909517255,0.05419998402821761,0.06263136679697741,27.16423714509851,4.011630081743168e-122,56475.0,7.546042731972702e-100,4.5056376077594295e-34,False,0.8590086027946111,0.756262,Wilcoxon signed-rank,7.546042731972702e-100,7.546042731972702e-100,True,True,0.1,1.0
embedding_efficiency,AMDT,S-UNIWARD,1000,2.040025880225496,0.006834873740727998,7.092444537584798,0.8313873026500096,-5.0524186573593015,-5.104382027766366,-5.000836910210822,-192.17573976631778,0.0,0.0,3.3258572475243253e-165,0.00018486705995462616,False,-6.077130486893588,-1.0,Wilcoxon signed-rank,3.3258572475243253e-165,1.995513225669455e-164,True,False,0.1,1.0
embedding_efficiency,AMDT,WOW,1000,2.040025880225496,0.006834873740727998,5.802590995340648,0.8847818470160556,-3.7625651151151516,-3.8164832224966836,-3.707211167834514,-134.4725576655788,0.0,0.0,3.325855376115759e-165,0.030659724287207913,False,-4.2523956501156395,-1.0,Wilcoxon signed-rank,3.325855376115759e-165,1.995513225669455e-164,True,False,0.1,1.0
psnr,AMDT,EA-LSB,1000,55.17113485251966,0.00712737601994955,55.12064775151461,0.013190567784892436,0.050487101005054415,0.04956597265387458,0.051399570588499616,107.55522303106457,0.0,0.0,3.3258572475243253e-165,0.5354377426175736,True,3.4011947902556305,0.99918,paired t-test,0.0,0.0,True,False,0.4,1.0
psnr,AMDT,GA-FT,1000,55.17113485251966,0.00712737601994955,55.135723054364036,0.11944893901834369,0.03541179815562551,0.031148488813789392,0.043454407128496714,9.339837428784303,6.086256813207103e-20,3.0,3.355946138042403e-165,5.189358621419168e-57,False,0.2953515925064908,0.997866,Wilcoxon signed-rank,3.355946138042403e-165,1.9955154713607082e-164,True,True,0.4,1.0
psnr,AMDT,HILL,1000,55.17113485251966,0.00712737601994955,59.04423336764553,0.635621412772035,-3.8730985151258692,-3.911883828657352,-3.833806327622895,-192.59273111261714,0.0,0.0,3.3258591189345135e-165,9.479441339967534e-15,False,-6.090316911082448,-1.0,Wilcoxon signed-rank,3.3258591189345135e-165,1.9955154713607082e-164,True,False,0.4,1.0
psnr,AMDT,LSB,1000,55.17113485251966,0.00712737601994955,55.120634142280295,0.013344487579203144,0.050500710239364976,0.04957372356854677,0.0514297057603082,106.46447963144206,0.0,0.0,3.3258478904905064e-165,0.10797995163437281,True,3.366702455399607,0.999697,paired t-test,0.0,0.0,True,False,0.4,1.0
psnr,AMDT,LSB-M,1000,55.17113485251966,0.00712737601994955,55.120167401081254,0.013135483907162002,0.050967451438398884,0.050040941072649,0.05190180388123652,105.9408398857424,0.0,2.0,3.345885167884227e-165,0.7226745255329594,True,3.350143512701584,0.999592,paired t-test,0.0,0.0,True,False,0.4,1.0
psnr,AMDT,MiPOD-lite,1000,55.17113485251966,0.00712737601994955,57.50388374674823,0.4478813830794336,-2.3327488942285735,-2.360773492649372,-2.3047659765464505,-164.75910653002916,0.0,0.0,3.3258591189345135e-165,1.1859259402818958e-08,False,-5.210140418892133,-1.0,Wilcoxon signed-rank,3.3258591189345135e-165,1.9955154713607082e-164,True,False,0.4,1.0
psnr,AMDT,PVD,1000,55.17113485251966,0.00712737601994955,47.663961860024294,1.948959959477543,7.507172992495358,7.387310102121449,7.624905183645181,121.81255953655646,0.0,0.0,3.3258591189345135e-165,7.329544510916141e-30,False,3.8520513575038318,1.0,Wilcoxon signed-rank,3.3258591189345135e-165,1.9955154713607082e-164,True,False,0.4,1.0
psnr,AMDT,S-UNIWARD,1000,55.17113485251966,0.00712737601994955,59.52412630814382,0.3885771028924323,-4.352991455624163,-4.377701754742551,-4.328921719943553,-353.8642390941256,0.0,0.0,3.3258591189345135e-165,1.7074780481806262e-14,False,-11.190169780198355,-1.0,Wilcoxon signed-rank,3.3258591189345135e-165,1.9955154713607082e-164,True,False,0.4,1.0
psnr,AMDT,WOW,1000,55.17113485251966,0.00712737601994955,58.78869600156105,0.6014646620479944,-3.617561149041391,-3.655047910036311,-3.5798412019879153,-190.08816710520637,0.0,0.0,3.3258591189345135e-165,1.3961332740857278e-08,False,-6.01111564299148,-1.0,Wilcoxon signed-rank,3.3258591189345135e-165,1.9955154713607082e-164,True,False,0.4,1.0
ssim,AMDT,EA-LSB,1000,0.9982188722311466,0.0006152991251454083,0.9989353366455531,0.0006123111935855423,-0.000716464414406509,-0.0007347181236122165,-0.0006987866297947979,-77.9174609800258,0.0,0.0,3.3258591189345135e-165,2.636612514520111e-21,False,-2.4639664619417703,-0.600938,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.4,1.0
ssim,AMDT,GA-FT,1000,0.9982188722311466,0.0006152991251454083,0.9980161371971547,0.0007013897761381683,0.00020273503399190483,0.00017569097713564566,0.0002304382908038611,14.62378793982159,4.98061349338166e-44,109537.0,1.5676883523697528e-53,4.1626201949585766e-24,False,0.4624447790913758,0.219756,Wilcoxon signed-rank,1.5676883523697528e-53,3.1353767047395055e-53,True,True,0.4,1.0
ssim,AMDT,HILL,1000,0.9982188722311466,0.0006152991251454083,0.999556388709504,0.00022780646486934654,-0.001337516478357431,-0.001364665525478225,-0.0013106766451984756,-97.53721351665669,0.0,0.0,3.3258591189345135e-165,2.249419317799628e-20,False,-3.0843975133879673,-0.96139,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.4,1.0
ssim,AMDT,LSB,1000,0.9982188722311466,0.0006152991251454083,0.9980096122909327,0.0006938279124457739,0.00020925994021398297,0.0001823365979795649,0.0002360403857387807,15.434559281070658,2.305215646644023e-48,104821.0,4.677189130925349e-57,3.2410587893719586e-22,False,0.4880836200907427,0.22786,Wilcoxon signed-rank,4.677189130925349e-57,1.4031567392776046e-56,True,True,0.4,1.0
ssim,AMDT,LSB-M,1000,0.9982188722311466,0.0006152991251454083,0.9981830502144612,0.0005687952252027182,3.582201668534735e-05,2.5563234861171366e-05,4.5264074685864764e-05,7.008793809320347,4.417724039147773e-12,150218.0,6.663522717908409e-28,5.282138831842984e-35,False,0.2216375208794017,0.04696,Wilcoxon signed-rank,6.663522717908409e-28,6.663522717908409e-28,True,True,0.4,1.0
ssim,AMDT,MiPOD-lite,1000,0.9982188722311466,0.0006152991251454083,0.9996190666267903,0.00027264577344746706,-0.0014001943956437402,-0.0014261114849462987,-0.0013747005600216276,-107.5288864259533,0.0,0.0,3.3258591189345135e-165,4.268944189367096e-22,False,-3.40036195367575,-0.961504,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.4,1.0
ssim,AMDT,PVD,1000,0.9982188722311466,0.0006152991251454083,0.9914924624503847,0.003207190691487689,0.00672640978076196,0.006548522622138235,0.006906130923616448,73.07865989353043,0.0,7.0,3.3964987866318574e-165,2.636078824727961e-12,False,2.3109501361635423,0.990806,Wilcoxon signed-rank,3.3964987866318574e-165,2.993273207041062e-164,True,False,0.4,1.0
ssim,AMDT,S-UNIWARD,1000,0.9982188722311466,0.0006152991251454083,0.999584647571829,0.0002128408349447668,-0.0013657753406823192,-0.001393167714463185,-0.0013383167619664463,-97.6713551268676,0.0,0.0,3.3258591189345135e-165,1.937457628380874e-21,False,-3.0886394435606572,-0.96813,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.4,1.0
ssim,AMDT,WOW,1000,0.9982188722311466,0.0006152991251454083,0.9995950707763408,0.0002232179990560253,-0.0013761985451941944,-0.001403624985792519,-0.0013492338732528529,-99.19611887017183,0.0,0.0,3.3258591189345135e-165,1.515170480478763e-21,False,-3.1368567067855144,-0.967866,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.4,1.0
mse,AMDT,EA-LSB,1000,0.1976821517944336,0.0003243296014448562,0.1999942855834961,0.0006073999057847274,-0.0023121337890625,-0.0023545084953308106,-0.0022694352149963378,-107.25015420263517,0.0,0.0,3.3233691992089567e-165,0.5437343200115826,True,-3.3915476668460705,-0.99918,paired t-test,0.0,0.0,True,False,0.4,1.0
