payload_type,variant,seed,image,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
uniform,full,0,23,1.5073845634833177e-18,0.10271161101509604,0.11215455991940289,,,
uniform,no_decomp,0,24,1.4832796499141989e-30,0.08813341458958486,0.09056298038540597,,,
uniform,full,0,24,2.1450939171718e-33,0.09315926999243423,0.10635602122339968,,,
uniform,no_decomp,0,25,6.186581430635016e-36,0.08172610277344733,0.09246450526362263,,,
uniform,full,0,25,3.877239778287079e-46,0.08392355131736294,0.086932115593685,,,
uniform,no_decomp,0,26,0.9941738190741148,0.09429330150919671,0.12498665187194002,,,
uniform,full,0,26,0.9633067588377427,0.06583014988236392,0.0807605387788685,,,
uniform,no_decomp,0,27,0.0,0.08167675556139845,0.0984689607473061,,,
uniform,full,0,27,0.0,0.0707775684852213,0.09521819455873619,,,
uniform,no_decomp,0,28,0.004946537868979002,0.11002134211291707,0.1180150860045739,,,
uniform,full,0,28,0.00035643590591655374,0.08867749706416174,0.10001533697781041,,,
uniform,cover,0,0,0.0,0.04022995370688525,0.01780475834231718,,,
uniform,cover,0,1,1.4600621832478588e-08,0.0,0.007903605650753338,,,
uniform,cover,0,2,5.309624594268073e-21,0.07321461434279733,0.08387105769291828,,,
uniform,cover,0,3,3.37607986769577e-91,0.10755389372325902,0.07057450628999633,,,
uniform,cover,0,4,3.400812610049536e-64,0.0,0.003949787491226781,,,
uniform,cover,0,5,1.0719656290594862e-84,0.0030101537347745435,0.0,,,
uniform,cover,0,6,8.435202413509356e-83,0.10836832262719738,0.0467851850008462,,,
uniform,cover,0,7,0.8933006816000942,0.007505896072164034,0.039928231448464545,,,
uniform,cover,0,8,7.677071895665625e-48,0.0,0.0,,,
uniform,cover,0,9,3.733534489569478e-22,0.00593783442561954,0.0,,,
uniform,cover,0,10,0.0,0.41467029626094876,0.22073847327209017,,,
uniform,cover,0,11,0.0,0.007937580280891263,0.006575236234637382,,,
uniform,cover,0,12,0.0,0.0,0.0,,,
uniform,cover,0,13,3.906484069535057e-17,0.0,0.0,,,
uniform,cover,0,14,8.749711751378213e-29,0.00390172924415872,0.004438234304130198,,,
uniform,cover,0,15,3.906484069535057e-17,0.0,0.0,,,
uniform,cover,0,16,8.159250511066146e-12,0.00602114395379416,0.0,,,
uniform,cover,0,17,0.05101594999135635,0.021654299520254307,0.005898903031078768,,,
uniform,cover,0,18,0.2195240920905804,0.020959373138568983,0.015691000540995904,,,
uniform,cover,0,19,0.0,0.03480289921311532,0.013718763942881506,,,
uniform,cover,0,20,0.0,0.4683281652123114,0.192461876123866,,,
uniform,cover,0,21,2.026826798841779e-39,0.01941539049302317,0.00026604133099672754,,,
uniform,cover,0,22,0.0,0.06300549627107752,0.02383397142606437,,,
uniform,cover,0,23,1.2215997011142896e-22,0.0,0.019271010063964228,,,
uniform,cover,0,24,8.662603408063465e-48,0.005130923295415994,0.0025313082822640944,,,
uniform,cover,0,25,1.949991634603566e-51,0.0028624600633730146,0.0,,,
uniform,cover,0,26,0.7622848759274033,0.0,0.005110464174320522,,,
uniform,cover,0,27,0.0,0.0,0.0,,,
uniform,cover,0,28,0.0004081507207802356,0.0,0.005418977866374009,,,
uniform,no_decomp,1,0,0.0,0.086173959840041,0.10262522097717326,,,
uniform,full,1,0,0.0,0.09885398315393508,0.11898127295543146,,,
uniform,no_decomp,1,1,6.117788273318823e-07,0.06194325819665731,0.07917939242778953,,,
uniform,full,1,1,2.991592803378505e-05,0.10423681216394869,0.10153700395862057,,,
uniform,no_decomp,1,2,2.159681359437596e-08,0.14184161959951105,0.1567948538500832,,,
uniform,full,1,2,0.34087451719422296,0.16932780723578408,0.17332124854767705,,,
uniform,no_decomp,1,3,5.273586160721526e-70,0.20245324800940542,0.17548015306493658,,,
uniform,full,1,3,7.452798348608448e-70,0.18131114904645845,0.14180309091904394,,,
uniform,no_decomp,1,4,2.2352335377996387e-65,0.0647029041219424,0.10483583473510202,,,
uniform,full,1,4,1.0947673125231928e-59,0.07227717672532429,0.10668161787402829,,,
uniform,no_decomp,1,5,2.1003300317748732e-61,0.10108846672832704,0.093721130501769,,,
uniform,full,1,5,3.366612759506554e-67,0.10497447811280393,0.09630601520748813,,,
uniform,no_decomp,1,6,4.07708659019111e-67,0.2087112207213081,0.14224843387265765,,,
uniform,full,1,6,4.416899424381074e-62,0.18403756365920626,0.11587696160397568,,,
uniform,no_decomp,1,7,0.9971179962107714,0.0702566631379764,0.13083616938667222,,,
uniform,full,1,7,0.9728274248609131,0.09594873681517457,0.12137647245431539,,,
uniform,no_decomp,1,8,5.982578573960347e-37,0.06860573081622527,0.08401476246502436,,,
uniform,full,1,8,1.990079356385253e-37,0.06981355349302645,0.0867040065265647,,,
uniform,no_decomp,1,9,2.7135501096241533e-21,0.07329394684624865,0.07012294859041557,,,
uniform,full,1,9,1.1877888399344097e-19,0.07978700947724623,0.08652287740339265,,,
uniform,no_decomp,1,10,0.0,0.4265894359467071,0.2770601004235571,,,
uniform,full,1,10,0.0,0.48060872561281504,0.30115092688336037,,,
uniform,no_decomp,1,11,0.0,0.08042451729211156,0.07935885457694392,,,
uniform,full,1,11,0.0,0.09208499391341297,0.10528399344813985,,,
uniform,no_decomp,1,12,0.0,0.08817942921714358,0.10332146555777827,,,
uniform,full,1,12,0.0,0.0782539572135797,0.08213539248339133,,,
uniform,no_decomp,1,13,7.92949467581164e-16,0.07280368814816426,0.07292086598008705,,,
uniform,full,1,13,5.6443308343707e-12,0.08340172181573831,0.08698769587856432,,,
uniform,no_decomp,1,14,4.232222928025868e-17,0.09513877854498955,0.11274197918223956,,,
uniform,full,1,14,1.1307376822868524e-22,0.08296749783814329,0.09253512820356434,,,
uniform,no_decomp,1,15,4.895776139033453e-12,0.06640934685414122,0.07099959608841638,,,
uniform,full,1,15,3.937739776383729e-10,0.08375963313404251,0.10155366058897529,,,
uniform,no_decomp,1,16,2.678719945580503e-10,0.09188588940139865,0.07534370116598806,,,
uniform,full,1,16,1.1399794540959937e-10,0.09746224550377432,0.08971188634001313,,,
uniform,no_decomp,1,17,0.27642263013709706,0.12055686309044944,0.09779045256787136,,,
uniform,full,1,17,0.29007451288509356,0.12745832838618623,0.10084404327436511,,,
uniform,no_decomp,1,18,0.27713880739513796,0.09202310383334869,0.11165238576167047,,,
uniform,full,1,18,0.3213616705826188,0.11376309452243595,0.09429404668214439,,,
uniform,no_decomp,1,19,0.0,0.11564607505670631,0.12211528490972186,,,
uniform,full,1,19,2.4083441699168764e-211,0.10223623990469993,0.09208492423185871,,,
uniform,no_decomp,1,20,0.0,0.4931105042147123,0.2695484116075031,,,
uniform,full,1,20,0.0,0.49027332003650304,0.25426293661369265,,,
uniform,no_decomp,1,21,2.704056615617447e-28,0.11793771064685243,0.09952203497873545,,,
uniform,full,1,21,1.9526453648357733e-27,0.10498727879045908,0.09810038852616522,,,
uniform,no_decomp,1,22,8.24373575503315e-298,0.13000352486945488,0.11570338616129888,,,
uniform,full,1,22,1.468016763723856e-268,0.13124696919604417,0.11615950955652489,,,
uniform,no_decomp,1,23,9.00348894600163e-16,0.08175797114159024,0.10698113360005147,,,
uniform,full,1,23,1.5179268483098212e-16,0.07136667084233334,0.11038653666082894,,,
uniform,no_decomp,1,24,4.146287847370623e-40,0.09311674312917043,0.10849825949997866,,,
uniform,full,1,24,1.6257761383597515e-37,0.08792706932797227,0.09969936506942884,,,
uniform,no_decomp,1,25,3.3191178030568123e-42,0.07405788871035536,0.077797245239661,,,
uniform,full,1,25,4.895930995979998e-45,0.07860940117266065,0.0964808331322171,,,
uniform,no_decomp,1,26,0.9366981136679022,0.07138431673458225,0.12339234637549401,,,
uniform,full,1,26,0.7738268893344117,0.07126892305178657,0.08043032296661992,,,
uniform,no_decomp,1,27,0.0,0.06898845126806986,0.08654675674814576,,,
uniform,full,1,27,0.0,0.06734394445606406,0.08523122385065954,,,
uniform,no_decomp,1,28,0.0044983514697626275,0.04080743404543604,0.07449602104309122,,,
uniform,full,1,28,0.0008733356789538088,0.06915382686722506,0.11121723918512699,,,
uniform,cover,1,0,0.0,0.04022995370688525,0.01780475834231718,,,
uniform,cover,1,1,1.4600621832478588e-08,0.0,0.007903605650753338,,,
uniform,cover,1,2,5.309624594268073e-21,0.07321461434279733,0.08387105769291828,,,
uniform,cover,1,3,3.37607986769577e-91,0.10755389372325902,0.07057450628999633,,,
uniform,cover,1,4,3.400812610049536e-64,0.0,0.003949787491226781,,,
uniform,cover,1,5,1.0719656290594862e-84,0.0030101537347745435,0.0,,,
uniform,cover,1,6,8.435202413509356e-83,0.10836832262719738,0.0467851850008462,,,
uniform,cover,1,7,0.8933006816000942,0.007505896072164034,0.039928231448464545,,,
uniform,cover,1,8,7.677071895665625e-48,0.0,0.0,,,
