variant,seed,image,rate_bpp,extraction_ok,mse,psnr,ssim,correlation,payload_bits,n_changes,change_rate,embedding_efficiency,bits_per_pixel,bits_per_unit_distortion,fused_measure_1,fused_measure_2,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
no_T3,1,15,0.1,True,0.048801422119140625,61.246478829328986,0.9997506647771001,0.9999943193665186,26214,12793,0.048801422119140625,2.049089345735949,0.09999847412109375,537156.4774486047,0.9997449855600007,20.48598057489571,3.858097693768065e-14,0.06988996560765713,0.07014730352790599,,,
no_T4,1,15,0.1,True,0.048824310302734375,61.24444243753533,0.9997621214216805,0.9999943164258854,26214,12799,0.048824310302734375,2.0481287600593796,0.09999847412109375,536904.665677006,0.9997564391995665,20.476611610089158,8.305816617334749e-13,0.06266640575878864,0.06140784497859889,,,
no_decomp,1,15,0.1,True,0.048946380615234375,61.23359777843098,0.9995898638244026,0.9999943023114157,26214,12831,0.048946380615234375,2.0430208089782558,0.09999847412109375,535565.6469487959,0.9995841684726465,20.422024180507634,8.036850629963517e-09,0.11435852872630896,0.120070588756018,,,
fixed_path,1,15,0.1,True,0.049121856689453125,61.21805587125173,0.9997183419458998,0.9999942818183253,26214,12877,0.049121856689453125,2.0357226061970954,0.09999847412109375,533652.4668789314,0.999712625374797,20.35168645385189,1.1083572591587077e-12,0.08152680516093146,0.08143441394103439,,,
fixed_plane,1,15,0.1,True,0.048641204833984375,61.26076037072999,0.9997975804002438,0.9999943377414423,26214,12751,0.048641204833984375,2.0558387577444908,0.09999847412109375,538925.7953101718,0.9997919192878382,20.554423409127995,4.014036049257612e-14,0.05900679058043469,0.05128577558850746,,,
single_seg,1,15,0.1,True,0.04930877685546875,61.201561312329176,0.9995724596722652,0.9999942602362517,26214,12926,0.04930877685546875,2.028005570168652,0.09999847412109375,531629.4921862911,0.9995667223624973,20.271578126798275,8.726951667169607e-09,0.13302039100659444,0.12789558889603744,,,
no_ga,1,15,0.1,True,0.06989288330078125,59.68647404014203,0.9996117409492912,0.999991863934848,26214,12400,0.04730224609375,2.1140322580645163,0.09999847412109375,375059.64501691953,0.99960360804304,14.301936918831716,2.8065860039921437e-16,0.03932624970507948,0.04206507824133486,,,
unconstrained,1,15,0.1,True,0.04885101318359375,61.24206785331423,0.9995565635919292,0.9999943135634831,26214,12806,0.04885101318359375,2.0470092144307355,0.09999847412109375,536611.1835077307,0.9995508796769853,20.461210823211278,4.088139738226342e-06,0.12215351093094524,0.13334844964901688,,,
full,1,16,0.1,True,0.048976898193359375,61.230890839617025,0.9995776423074111,0.9999915078221657,26214,12839,0.048976898193359375,2.041747799672872,0.09999847412109375,535231.9351974453,0.9995691537163135,20.408992618724923,3.985189697132165e-08,0.09532413462064065,0.08519300172388472,,,
no_T1T2,1,16,0.1,True,0.04892730712890625,61.23529047238351,0.9995934659347283,0.9999915161752905,26214,12826,0.04892730712890625,2.0438172462186186,0.09999847412109375,535774.4281927336,0.9995849855589826,20.43000206255839,1.1522067238523842e-09,0.09665857097303499,0.08089433844263612,,,
no_T3,1,16,0.1,True,0.049198150634765625,61.21131582982903,0.9996424125951364,0.9999914695005943,26214,12897,0.049198150634765625,2.0325657129565013,0.09999847412109375,532824.9062572691,0.9996338851461298,20.31852564067202,1.944980575918271e-08,0.09253760065080958,0.0771204444798819,,,
no_T4,1,16,0.1,True,0.04894256591796875,61.23393626444644,0.9996054174326323,0.9999915138763984,26214,12830,0.04894256591796875,2.0431800467653938,0.09999847412109375,535607.3901792674,0.9995969346575071,20.423876760628023,3.059307318814498e-09,0.08911642016052128,0.08134051895277981,,,
no_decomp,1,16,0.1,True,0.048839569091796875,61.24308537328898,0.9996084720125946,0.9999915315423868,26214,12803,0.048839569091796875,2.0474888697961413,0.09999847412109375,536736.9222838397,0.9996000068706197,20.467011184963816,2.857804050707281e-09,0.09273737745345763,0.08010832837505366,,,
fixed_path,1,16,0.1,True,0.04947662353515625,61.186803067354916,0.999647174283545,0.9999914209894072,26214,12970,0.04947662353515625,2.0211256746337702,0.09999847412109375,529825.9688511951,0.9996385982998477,20.20426065633888,2.773289889583014e-11,0.09743461261080742,0.07071092974686045,,,
fixed_plane,1,16,0.1,True,0.048618316650390625,61.26280443014285,0.9996304908463584,0.9999915698059749,26214,12745,0.048618316650390625,2.0568065908199293,0.09999847412109375,539179.5069438996,0.9996220637673672,20.560606220810726,1.3439316322320822e-08,0.09442899616218915,0.08351975036182614,,,
single_seg,1,16,0.1,True,0.049457550048828125,61.18847761714201,0.9995451077212107,0.9999914244042598,26214,12965,0.049457550048828125,2.021905129193984,0.09999847412109375,530030.2981874277,0.9995365360264429,20.209988870043645,9.343668306033628e-10,0.0965552134970556,0.08767991043047098,,,
no_ga,1,16,0.1,True,0.10620498657226562,57.86935452503093,0.9990318548759917,0.999981585338987,26214,12451,0.047496795654296875,2.105373062404626,0.09999847412109375,246824.56865773498,0.9990134580430429,9.406464708352265,2.027774916286613e-09,0.06692159609697272,0.05407951383149826,,,
unconstrained,1,16,0.1,True,0.049022674560546875,61.22683359231311,0.9995529135702522,0.9999914997230306,26214,12851,0.049022674560546875,2.0398412574896896,0.09999847412109375,534732.1466033772,0.9995444170936413,20.389430524830402,1.1300178677482535e-07,0.09423452485296087,0.08965248358860281,,,
full,1,17,0.1,True,0.049106597900390625,61.21940513567238,0.9998104465205746,0.9999893475123719,26214,12873,0.049106597900390625,2.0363551619669074,0.09999847412109375,533818.287578653,0.9997997960521626,20.359785421913937,0.272266793251916,0.1393530256478592,0.09196608972328954,,,
no_T1T2,1,17,0.1,True,0.0491790771484375,61.212999859792745,0.9997691508341664,0.9999893314211046,26214,12892,0.0491790771484375,2.033354017995656,0.09999847412109375,533031.5556934533,0.9997584847181035,20.328939514267958,0.3907827562516753,0.13642363780109004,0.10472795243939391,,,
no_T3,1,17,0.1,True,0.049007415771484375,61.228185586975464,0.9997648111409043,0.9999893687644412,26214,12847,0.049007415771484375,2.0404763758075815,0.09999847412109375,534898.6390597026,0.9997541824056937,20.400059188336435,0.5906245470355408,0.12774137075742562,0.10732245974970282,,,
no_T4,1,17,0.1,True,0.048915863037109375,61.236306405520594,0.9997755114947324,0.9999893884981138,26214,12823,0.048915863037109375,2.044295406691102,0.09999847412109375,535899.7750916323,0.9997649023750065,20.438459843109545,0.2073111272004758,0.12633040140278634,0.10055177825640049,,,
no_decomp,1,17,0.1,True,0.048702239990234375,61.25531424437129,0.9998104676416928,0.999989434813802,26214,12767,0.048702239990234375,2.0532623169107858,0.09999847412109375,538250.396804261,0.9997999044579394,20.52882792779996,0.15741979527726227,0.11757894298424205,0.08040383836763378,,,
fixed_path,1,17,0.1,True,0.049488067626953125,61.18579864731751,0.9998151170537136,0.9999892646438724,26214,12973,0.049488067626953125,2.0206582902952284,0.09999847412109375,529703.4468511523,0.9998043836823702,20.202938437988998,0.11098580674634635,0.13295644629533926,0.09586372604710194,,,
fixed_plane,1,17,0.1,True,0.048839569091796875,61.24308537328898,0.9997880334907212,0.999989405427758,26214,12803,0.048839569091796875,2.0474888697961413,0.09999847412109375,536736.9222838397,0.9997774411641738,20.47064418781076,0.24678679863892458,0.10961148099396505,0.09735063807437136,,,
single_seg,1,17,0.1,True,0.04933929443359375,61.19887426208474,0.9997930157611757,0.9999892966987921,26214,12934,0.04933929443359375,2.0267511983918354,0.09999847412109375,531300.6661512293,0.9997823146753825,20.26340923908021,0.18483732588806912,0.10816332982700315,0.08786832478654102,,,
no_ga,1,17,0.1,True,0.12598419189453125,57.12764306255738,0.9995153412736737,0.9999726709746312,26214,11643,0.044414520263671875,2.2514815769131666,0.09999847412109375,208073.72421728336,0.9994880254935555,7.933439985314075,0.07956712691562962,0.05048229263298206,0.03710363429672195,,,
unconstrained,1,17,0.1,True,0.049365997314453125,61.196524456134995,0.9997801644076446,0.9999892911963191,26214,12941,0.049365997314453125,2.0256548952940268,0.09999847412109375,531013.2768719574,0.9997694579581399,20.25218799064822,0.24399848069060928,0.09881754324478975,0.09350168263212114,,,
full,1,18,0.1,True,0.048908233642578125,61.236983826332924,0.9998502244069408,0.9999834140722444,26214,12821,0.048908233642578125,2.044614304656423,0.09999847412109375,535983.3722798533,0.9998336409633525,20.44305358214625,0.5405302512227419,0.12120568069890986,0.11649661620260804,,,
no_T1T2,1,18,0.1,True,0.0491790771484375,61.212999859792745,0.9998363768151552,0.9999833219587433,26214,12892,0.0491790771484375,2.033354017995656,0.09999847412109375,533031.5556934533,0.9998197015028127,20.33018428721326,0.4092321152887938,0.12154762591866143,0.10206662252120494,,,
no_T3,1,18,0.1,True,0.04885101318359375,61.24206785331423,0.9998572423852907,0.9999834339136764,26214,12806,0.04885101318359375,2.0470092144307355,0.09999847412109375,536611.1835077307,0.999840678663902,20.467143125696545,0.30952089685895084,0.12583266521427042,0.09888428671261322,,,
no_T4,1,18,0.1,True,0.048915863037109375,61.236306405520594,0.9998676202671728,0.9999834116692381,26214,12823,0.048915863037109375,2.044295406691102,0.09999847412109375,535899.7750916323,0.9998510341323696,20.44022065753692,0.6418549461378289,0.10381690434817048,0.0992124521666112,,,
no_decomp,1,18,0.1,True,0.0489044189453125,61.23732257636774,0.9998712564360777,0.999983414900269,26214,12820,0.0489044189453125,2.044773790951638,0.09999847412109375,536025.1806552262,0.9998546734715715,20.445078277888584,0.41970336384842766,0.11875610951333616,0.1121574671400228,,,
fixed_path,1,18,0.1,True,0.049228668212890625,61.208622739396844,0.9998695570758354,0.9999833054950942,26214,12905,0.049228668212890625,2.031305695466873,0.09999847412109375,532494.600232468,0.9998528647486096,20.3103780997024,0.8895760351357007,0.14991096396213188,0.10800663143373221,,,
fixed_plane,1,18,0.1,True,0.048370361328125,61.285010292738576,0.9998661028207021,0.999983596222801,26214,12680,0.048370361328125,2.067350157728707,0.09999847412109375,541943.4397476341,0.9998497012399226,20.67070978563393,0.699372456398335,0.11096367532245877,0.10117366083700349,,,
single_seg,1,18,0.1,True,0.04935455322265625,61.197531360151025,0.9998590994038584,0.9999832628741019,26214,12938,0.04935455322265625,2.026124594218581,0.09999847412109375,531136.4056268357,0.9998423646362313,20.25836117137117,0.40687956559046434,0.11988246587661253,0.11207888896072156,,,
no_ga,1,18,0.1,True,0.14008712768554688,56.66682130164381,0.9996417720048143,0.9999524957616882,26214,11097,0.042331695556640625,2.3622600702892673,0.09999847412109375,187126.40078424965,0.9995942847838506,7.13551845411262,0.2838239678840483,0.08374530534850341,0.06199516890026893,,,
unconstrained,1,18,0.1,True,0.04892730712890625,61.23529047238351,0.999868432054165,0.9999834071428894,26214,12826,0.04892730712890625,2.0438172462186186,0.09999847412109375,535774.4281927336,0.9998518413801425,20.435456191077193,0.7436092180753875,0.11654915992135591,0.0969241150058906,,,
full,1,19,0.1,True,0.04888916015625,61.23867784079409,0.9997521804690023,0.9999942802461864,26214,12816,0.04888916015625,2.0454119850187267,0.09999847412109375,536192.4794007491,0.9997464621326554,20.44924598699304,3.897214622161675e-264,0.10247716025727685,0.10916893874206905,,,
no_T1T2,1,19,0.1,True,0.04875946044921875,61.25021469607035,0.999771008926496,0.999994294627961,26214,12782,0.04875946044921875,2.0508527616961354,0.09999847412109375,537618.7463620717,0.9997653048609362,20.504027231846756,0.0,0.09886977652551941,0.10143711491094634,,,
no_T3,1,19,0.1,True,0.0490570068359375,61.22379314231368,0.9997648977665888,0.9999942600036882,26214,12860,0.0490570068359375,2.0384136858475896,0.09999847412109375,534357.9172628305,0.999759159119763,20.37953849209107,2.30902109717193e-299,0.11714628075234526,0.10735507335190891,,,
no_T4,1,19,0.1,True,0.04875946044921875,61.25021469607035,0.9997860298092989,0.9999942947431673,26214,12782,0.04875946044921875,2.0508527616961354,0.09999847412109375,537618.7463620717,0.9997803257732211,20.50433529334183,3.69329957714e-311,0.10426930849897838,0.1078963971788359,,,
no_decomp,1,19,0.1,True,0.048793792724609375,61.247157838839286,0.999823460358002,0.9999942908272133,26214,12791,0.048793792724609375,2.049409741224298,0.09999847412109375,537240.4672035024,0.9998177521931105,20.49067507082408,1.3448694913909015e-295,0.09917213391333375,0.09249644755835483,,,
fixed_path,1,19,0.1,True,0.0493011474609375,61.20223333473965,0.9998177277232516,0.9999942344786574,26214,12924,0.0493011474609375,2.0283194057567315,0.09999847412109375,531711.7623026926,0.9998119632528037,20.279689515238548,4.2715339723282255e-208,0.09621224897051261,0.10381251710005669,,,
fixed_plane,1,19,0.1,True,0.048526763916015625,61.270990302012436,0.9997612404231702,0.9999943219548597,26214,12721,0.048526763916015625,2.0606870529046457,0.09999847412109375,540196.7467966354,0.9997555637337175,20.602147826382488,2.4568704924498688e-285,0.1184283118208053,0.10821499690337961,,,
single_seg,1,19,0.1,True,0.049190521240234375,61.211989363456155,0.9997365579144862,0.9999942442351385,26214,12895,0.049190521240234375,2.0328809616130283,0.09999847412109375,532907.5468010857,0.9997308036659355,20.323647289352692,0.0,0.10441846840043263,0.11280518839871129,,,
no_ga,1,19,0.1,True,0.08834457397460938,58.66900480089654,0.9996993870507406,0.9999896632780417,26214,13265,0.050601959228515625,1.9761779117979645,0.09999847412109375,296724.50520316075,0.9996890534361348,11.315794603565012,0.0,0.07420018727945973,0.0700941157978221,,,
unconstrained,1,19,0.1,True,0.0488433837890625,61.24274617347477,0.9997565912071528,0.9999942847214986,26214,12804,0.0488433837890625,2.047328959700094,0.09999847412109375,536695.0028116214,0.9997508773198005,20.468501560771774,1.1771945170670665e-292,0.10092132886396803,0.10390100631314439,,,
full,1,20,0.1,True,0.049098968505859375,61.22007992511112,0.9998955659187727,0.9999954630603213,26214,12871,0.049098968505859375,2.036671587289255,0.09999847412109375,533901.2365783545,0.9998910294529051,20.364807243019374,0.0,0.4874634714846158,0.23394186201396236,,,
no_T1T2,1,20,0.1,True,0.048755645751953125,61.25055447972808,0.9999105388586663,0.9999954937730618,26214,12781,0.048755645751953125,2.0510132227525233,0.09999847412109375,537660.8102652375,0.9999060330348604,20.508517887793634,0.0,0.4940019287296792,0.25011825811046084,,,
no_T3,1,20,0.1,True,0.04914093017578125,61.2163698799968,0.9998684783010235,0.999995458188876,26214,12882,0.04914093017578125,2.0349324639031208,0.09999847412109375,533445.3358174197,0.9998639370872463,20.3468663191895,0.0,0.4910044487941294,0.27248317527821964,,,
no_T4,1,20,0.1,True,0.049022674560546875,61.22683359231311,0.9997604597761867,0.9999954710919189,26214,12851,0.049022674560546875,2.0398412574896896,0.09999847412109375,534732.1466033772,0.9997559319529612,20.39374515803261,0.0,0.5268504209831479,0.3109619003190754,,,
no_decomp,1,20,0.1,True,0.04889678955078125,61.23800015571524,0.9996939710668585,0.999995487055618,26214,12818,0.04889678955078125,2.0450928381962865,0.09999847412109375,536108.8169761273,0.9996894595035681,20.444889504766998,0.0,0.5116294514228408,0.30344213714013685,,,
fixed_path,1,20,0.1,True,0.049411773681640625,61.192499172937396,0.9997000567573011,0.9999954370816905,26214,12953,0.049411773681640625,2.0237782753030187,0.09999847412109375,530521.3322010345,0.9996954952076081,20.231928965930923,0.0,0.5522909230717382,0.3644557999531639,,,
fixed_plane,1,20,0.1,True,0.048885345458984375,61.239016722993085,0.9998167831310044,0.9999954823649151,26214,12815,0.048885345458984375,2.045571595786188,0.09999847412109375,536234.3204057745,0.9998122663236264,20.452187806721867,0.0,0.4988569312401521,0.2704722186017555,,,
single_seg,1,20,0.1,True,0.04946136474609375,61.18814265552687,0.9999068939813901,0.9999954284738024,26214,12966,0.04946136474609375,2.021749190189727,0.09999847412109375,529989.4197130958,0.9999023228808291,20.21582558454975,0.0,0.47760560028920146,0.22617310297657586,,,
no_ga,1,20,0.1,True,0.10741424560546875,57.820184782234335,0.9995147392546352,0.9999900794941554,26214,12316,0.0469818115234375,2.1284507957128938,0.09999847412109375,244045.84189217983,0.9995048235628227,9.305142143193855,0.0,0.4724194746058343,0.2450413506740028,,,
unconstrained,1,20,0.1,True,0.04877471923828125,61.248855827217255,0.9997723769520201,0.9999954937211049,26214,12786,0.04877471923828125,2.050211168465509,0.09999847412109375,537450.5565462224,0.999767871698858,20.49766533385151,0.0,0.5067077158345817,0.2731787808517398,,,
full,1,21,0.1,True,0.048725128173828125,61.253273706439145,0.9996024943733571,0.9999710768041559,26214,12773,0.048725128173828125,2.052297815705003,0.09999847412109375,537997.5586001723,0.9995735826746461,20.514539830631993,2.1216554892107175e-27,0.09346512066109722,0.08199422158703402,,,
no_T1T2,1,21,0.1,True,0.048908233642578125,61.236983826332924,0.9994820815218689,0.999970968359216,26214,12821,0.048908233642578125,2.044614304656423,0.09999847412109375,535983.3722798533,0.9994530649171081,20.435272151129425,5.981691076021962e-30,0.12302807378539102,0.10888943662489343,,,
no_T3,1,21,0.1,True,0.048992156982421875,61.229538002656,0.9994970837436022,0.9999709171658682,26214,12843,0.048992156982421875,2.0411118897453866,0.09999847412109375,535065.2352254146,0.9994680155357005,20.40057178732311,2.281326490056669e-36,0.12061093764166608,0.09862633695654965,,,
no_T4,1,21,0.1,True,0.0491180419921875,61.21839314805996,0.9995329981722635,0.9999708420127031,26214,12876,0.0491180419921875,2.0358807082945014,0.09999847412109375,533693.9123951538,0.9995038538018,20.349016639563455,3.008831115781113e-35,0.108368082849647,0.09276469284639542,,,
no_decomp,1,21,0.1,True,0.0488739013671875,61.24003352827788,0.9994297711175608,0.9999709875973604,26214,12812,0.0488739013671875,2.0460505775835154,0.09999847412109375,536359.882610053,0.9994007752586311,20.448557354776664,4.9772082481812205e-26,0.13398388981327966,0.12046777254049836,,,
